technique_id,technique_name,tactic
T1041,Exfiltration Over C2 Channel,exfiltration
T1042,Change Default File Association,persistence
T1044,File System Permissions Weakness,persistence|privilege-escalation
T1045,Software Packing,stealth
T1046,Network Service Discovery,discovery
T1047,Windows Management Instrumentation,execution
T1048,Exfiltration Over Alternative Protocol,exfiltration
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration
T1049,System Network Connections Discovery,discovery
T1050,New Service,persistence|privilege-escalation
T1052,Exfiltration Over Physical Medium,exfiltration
T1052.001,Exfiltration over USB,exfiltration
T1053,Scheduled Task/Job,execution|persistence|privilege-escalation
T1053.001,At (Linux),execution|persistence|privilege-escalation
T1053.002,At,execution|persistence|privilege-escalation
T1053.003,Cron,execution|persistence|privilege-escalation
T1053.005,Scheduled Task,execution|persistence|privilege-escalation
T1053.006,Systemd Timers,execution|persistence|privilege-escalation
T1053.007,Container Orchestration Job,execution|persistence|privilege-escalation
T1054,Indicator Blocking,stealth
T1055,Process Injection,stealth|privilege-escalation
T1055.001,Dynamic-link Library Injection,stealth|privilege-escalation
T1055.002,Portable Executable Injection,stealth|privilege-escalation
T1055.003,Thread Execution Hijacking,stealth|privilege-escalation
T1055.004,Asynchronous Procedure Call,stealth|privilege-escalation
T1055.005,Thread Local Storage,stealth|privilege-escalation
T1055.008,Ptrace System Calls,stealth|privilege-escalation
T1055.009,Proc Memory,stealth|privilege-escalation
T1055.011,Extra Window Memory Injection,stealth|privilege-escalation
T1055.012,Process Hollowing,stealth|privilege-escalation
T1055.013,Process Doppelgänging,stealth|privilege-escalation
T1055.014,VDSO Hijacking,stealth|privilege-escalation
T1055.015,ListPlanting,stealth|privilege-escalation
T1056,Input Capture,collection|credential-access
T1056.001,Keylogging,collection|credential-access
T1056.002,GUI Input Capture,collection|credential-access
T1056.003,Web Portal Capture,collection|credential-access
T1056.004,Credential API Hooking,collection|credential-access
T1057,Process Discovery,discovery
T1058,Service Registry Permissions Weakness,persistence|privilege-escalation
T1059,Command and Scripting Interpreter,execution
T1059.001,PowerShell,execution
T1059.002,AppleScript,execution
T1059.003,Windows Command Shell,execution
T1059.004,Unix Shell,execution
T1059.005,Visual Basic,execution
T1059.006,Python,execution
T1059.007,JavaScript,execution
T1059.008,Network Device CLI,execution
T1059.009,Cloud API,execution
T1059.010,AutoHotKey & AutoIT,execution
T1059.011,Lua,execution
T1059.012,Hypervisor CLI,execution
T1059.013,Container CLI/API,execution
T1060,Registry Run Keys / Startup Folder,persistence
T1063,Security Software Discovery,discovery
T1065,Uncommonly Used Port,command-and-control
T1066,Indicator Removal from Tools,stealth
T1067,Bootkit,persistence
T1068,Exploitation for Privilege Escalation,privilege-escalation
T1069,Permission Groups Discovery,discovery
T1069.001,Local Groups,discovery
T1069.002,Domain Groups,discovery
T1069.003,Cloud Groups,discovery
T1070,Indicator Removal,stealth
T1070.001,Clear Windows Event Logs,stealth
T1070.002,Clear Linux or Mac System Logs,stealth
T1070.003,Clear Command History,stealth
T1070.004,File Deletion,stealth
T1070.005,Network Share Connection Removal,stealth
T1070.006,Timestomp,stealth
T1070.007,Clear Network Connection History and Configurations,stealth
T1070.008,Clear Mailbox Data,stealth
T1070.009,Clear Persistence,stealth
T1070.010,Relocate Malware,stealth
T1071,Application Layer Protocol,command-and-control
T1071.001,Web Protocols,command-and-control
T1071.002,File Transfer Protocols,command-and-control
T1071.003,Mail Protocols,command-and-control
T1071.004,DNS,command-and-control
T1071.005,Publish/Subscribe Protocols,command-and-control
T1072,Software Deployment Tools,execution|lateral-movement
T1073,DLL Side-Loading,stealth
T1074,Data Staged,collection
T1074.001,Local Data Staging,collection
T1074.002,Remote Data Staging,collection
T1075,Pass the Hash,lateral-movement
T1076,Remote Desktop Protocol,lateral-movement
T1077,Windows Admin Shares,lateral-movement
T1078,Valid Accounts,stealth|persistence|privilege-escalation|initial-access
T1078.001,Default Accounts,stealth|persistence|privilege-escalation|initial-access
T1078.002,Domain Accounts,stealth|persistence|privilege-escalation|initial-access
T1078.003,Local Accounts,stealth|persistence|privilege-escalation|initial-access
T1078.004,Cloud Accounts,stealth|persistence|privilege-escalation|initial-access
T1079,Multilayer Encryption,command-and-control
T1080,Taint Shared Content,lateral-movement
T1081,Credentials in Files,credential-access
T1082,System Information Discovery,discovery
T1083,File and Directory Discovery,discovery
T1084,Windows Management Instrumentation Event Subscription,persistence
T1085,Rundll32,stealth|execution
T1086,PowerShell,execution
T1087,Account Discovery,discovery
T1087.001,Local Account,discovery
T1087.002,Domain Account,discovery
T1087.003,Email Account,discovery
T1087.004,Cloud Account,discovery
T1088,Bypass User Account Control,stealth|privilege-escalation
T1089,Disabling Security Tools,stealth
T1090,Proxy,command-and-control
T1090.001,Internal Proxy,command-and-control
T1090.002,External Proxy,command-and-control
T1090.003,Multi-hop Proxy,command-and-control
T1090.004,Domain Fronting,command-and-control
T1091,Replication Through Removable Media,lateral-movement|initial-access
T1092,Communication Through Removable Media,command-and-control
T1093,Process Hollowing,stealth
T1094,Custom Command and Control Protocol,command-and-control
T1095,Non-Application Layer Protocol,command-and-control
T1096,NTFS File Attributes,stealth
T1097,Pass the Ticket,lateral-movement
T1098,Account Manipulation,persistence|privilege-escalation
T1098.001,Additional Cloud Credentials,persistence|privilege-escalation
T1098.002,Additional Email Delegate Permissions,persistence|privilege-escalation
T1098.003,Additional Cloud Roles,persistence|privilege-escalation
T1098.004,SSH Authorized Keys,persistence|privilege-escalation
T1098.005,Device Registration,persistence|privilege-escalation
T1098.006,Additional Container Cluster Roles,persistence|privilege-escalation
T1098.007,Additional Local or Domain Groups,persistence|privilege-escalation
T1099,Timestomp,stealth
T1100,Web Shell,persistence|privilege-escalation
T1101,Security Support Provider,persistence
T1102,Web Service,command-and-control
T1102.001,Dead Drop Resolver,command-and-control
T1102.002,Bidirectional Communication,command-and-control
T1102.003,One-Way Communication,command-and-control
T1103,AppInit DLLs,persistence|privilege-escalation
T1104,Multi-Stage Channels,command-and-control
T1105,Ingress Tool Transfer,command-and-control
T1106,Native API,execution
T1107,File Deletion,stealth
T1109,Component Firmware,stealth|persistence
T1110,Brute Force,credential-access
T1110.001,Password Guessing,credential-access
T1110.002,Password Cracking,credential-access
T1110.003,Password Spraying,credential-access
T1110.004,Credential Stuffing,credential-access
T1111,Multi-Factor Authentication Interception,credential-access
T1112,Modify Registry,defense-impairment|persistence
T1113,Screen Capture,collection
T1114,Email Collection,collection
T1114.001,Local Email Collection,collection
T1114.002,Remote Email Collection,collection
T1114.003,Email Forwarding Rule,collection
T1115,Clipboard Data,collection
T1116,Code Signing,stealth
T1117,Regsvr32,stealth|execution
T1118,InstallUtil,stealth|execution
T1119,Automated Collection,collection
T1120,Peripheral Device Discovery,discovery
T1121,Regsvcs/Regasm,stealth|execution
T1122,Component Object Model Hijacking,stealth|persistence
T1123,Audio Capture,collection
T1124,System Time Discovery,discovery
T1125,Video Capture,collection
T1126,Network Share Connection Removal,stealth
T1127,Trusted Developer Utilities Proxy Execution,stealth|execution
T1127.001,MSBuild,stealth|execution
T1127.002,ClickOnce,stealth|execution
T1127.003,JamPlus,stealth|execution
T1128,Netsh Helper DLL,persistence
T1129,Shared Modules,execution
T1130,Install Root Certificate,stealth
T1131,Authentication Package,persistence
T1132,Data Encoding,command-and-control
T1132.001,Standard Encoding,command-and-control
T1132.002,Non-Standard Encoding,command-and-control
T1133,External Remote Services,persistence|initial-access
T1134,Access Token Manipulation,stealth|privilege-escalation
T1134.001,Token Impersonation/Theft,stealth|privilege-escalation
T1134.002,Create Process with Token,stealth|privilege-escalation
T1134.003,Make and Impersonate Token,stealth|privilege-escalation
T1134.004,Parent PID Spoofing,stealth|privilege-escalation
T1134.005,SID-History Injection,stealth|privilege-escalation
T1135,Network Share Discovery,discovery
T1136,Create Account,persistence
T1136.001,Local Account,persistence
T1136.002,Domain Account,persistence
T1136.003,Cloud Account,persistence
T1137,Office Application Startup,persistence
T1137.001,Office Template Macros,persistence
T1137.002,Office Test,persistence
T1137.003,Outlook Forms,persistence
T1137.004,Outlook Home Page,persistence
T1137.005,Outlook Rules,persistence
T1137.006,Add-ins,persistence
T1138,Application Shimming,persistence|privilege-escalation
T1139,Bash History,credential-access
T1140,Deobfuscate/Decode Files or Information,stealth
T1141,Input Prompt,credential-access
T1142,Keychain,credential-access
T1143,Hidden Window,stealth
T1144,Gatekeeper Bypass,stealth
T1145,Private Keys,credential-access
T1146,Clear Command History,stealth
T1147,Hidden Users,stealth
T1148,HISTCONTROL,stealth
T1150,Plist Modification,stealth|persistence|privilege-escalation
T1151,Space after Filename,stealth|execution
T1152,Launchctl,stealth|execution|persistence
T1154,Trap,execution|persistence
T1155,AppleScript,execution
T1156,Malicious Shell Modification,persistence
T1157,Dylib Hijacking,persistence|privilege-escalation
T1158,Hidden Files and Directories,stealth|persistence
T1159,Launch Agent,persistence
T1160,Launch Daemon,persistence|privilege-escalation
T1161,LC_LOAD_DYLIB Addition,persistence
T1162,Login Item,persistence
T1163,Rc.common,persistence
T1164,Re-opened Applications,persistence
T1165,Startup Items,persistence|privilege-escalation
T1166,Setuid and Setgid,privilege-escalation|persistence
T1167,Securityd Memory,credential-access
T1168,Local Job Scheduling,persistence|execution
T1169,Sudo,privilege-escalation
T1170,Mshta,stealth|execution
T1171,LLMNR/NBT-NS Poisoning and Relay,credential-access
T1172,Domain Fronting,command-and-control
T1173,Dynamic Data Exchange,execution
T1174,Password Filter DLL,credential-access
T1176,Software Extensions,persistence
T1176.001,Browser Extensions,persistence
T1176.002,IDE Extensions,persistence
T1177,LSASS Driver,execution|persistence
T1178,SID-History Injection,privilege-escalation
T1179,Hooking,persistence|privilege-escalation|credential-access
T1180,Screensaver,persistence
T1181,Extra Window Memory Injection,stealth|privilege-escalation
T1182,AppCert DLLs,persistence|privilege-escalation
T1183,Image File Execution Options Injection,privilege-escalation|persistence|stealth
T1184,SSH Hijacking,lateral-movement
T1185,Browser Session Hijacking,collection
T1186,Process Doppelgänging,stealth
T1187,Forced Authentication,credential-access
T1188,Multi-hop Proxy,command-and-control
T1189,Drive-by Compromise,initial-access
T1190,Exploit Public-Facing Application,initial-access
T1191,CMSTP,stealth|execution
T1192,Spearphishing Link,initial-access
T1193,Spearphishing Attachment,initial-access
T1194,Spearphishing via Service,initial-access
T1195,Supply Chain Compromise,initial-access
T1195.001,Compromise Software Dependencies and Development Tools,initial-access
T1195.002,Compromise Software Supply Chain,initial-access
T1195.003,Compromise Hardware Supply Chain,initial-access
T1196,Control Panel Items,stealth|execution
T1197,BITS Jobs,stealth|persistence|execution
T1198,SIP and Trust Provider Hijacking,stealth|persistence
T1199,Trusted Relationship,initial-access
T1200,Hardware Additions,initial-access
T1201,Password Policy Discovery,discovery
T1202,Indirect Command Execution,stealth
T1203,Exploitation for Client Execution,execution
T1204,User Execution,execution
T1204.001,Malicious Link,execution
T1204.002,Malicious File,execution
T1204.003,Malicious Image,execution
T1204.004,Malicious Copy and Paste,execution
T1204.005,Malicious Library,execution
T1205,Traffic Signaling,stealth|persistence|command-and-control
T1205.001,Port Knocking,stealth|persistence|command-and-control
T1205.002,Socket Filters,stealth|persistence|command-and-control
T1206,Sudo Caching,privilege-escalation
T1207,Rogue Domain Controller,defense-impairment
T1208,Kerberoasting,credential-access
T1209,Time Providers,persistence
T1210,Exploitation of Remote Services,lateral-movement
T1211,Exploitation for Stealth,stealth
T1212,Exploitation for Credential Access,credential-access
T1213,Data from Information Repositories,collection
T1213.001,Confluence,collection
T1213.002,Sharepoint,collection
T1213.003,Code Repositories,collection
T1213.004,Customer Relationship Management Software,collection
T1213.005,Messaging Applications,collection
T1213.006,Databases,collection
T1214,Credentials in Registry,credential-access
T1215,Kernel Modules and Extensions,persistence
T1216,System Script Proxy Execution,stealth
T1216.001,PubPrn,stealth
T1216.002,SyncAppvPublishingServer,stealth
T1217,Browser Information Discovery,discovery
T1218,System Binary Proxy Execution,stealth
T1218.001,Compiled HTML File,stealth
T1218.002,Control Panel,stealth
T1218.003,CMSTP,stealth
T1218.004,InstallUtil,stealth
T1218.005,Mshta,stealth
T1218.007,Msiexec,stealth
T1218.008,Odbcconf,stealth
T1218.009,Regsvcs/Regasm,stealth
T1218.010,Regsvr32,stealth
T1218.011,Rundll32,stealth
T1218.012,Verclsid,stealth
T1218.013,Mavinject,stealth
T1218.014,MMC,stealth
T1218.015,Electron Applications,stealth
T1219,Remote Access Tools,command-and-control
T1219.001,IDE Tunneling,command-and-control
T1219.002,Remote Desktop Software,command-and-control
T1219.003,Remote Access Hardware,command-and-control
T1220,XSL Script Processing,stealth
T1221,Template Injection,stealth
T1222,File and Directory Permissions Modification,defense-impairment
T1222.001,Windows Permissions,defense-impairment
T1222.002,Linux and Mac Permissions,defense-impairment
T1223,Compiled HTML File,stealth|execution
T1480,Execution Guardrails,stealth
T1480.001,Environmental Keying,stealth
T1480.002,Mutual Exclusion,stealth
T1482,Domain Trust Discovery,discovery
T1483,Domain Generation Algorithms,command-and-control
T1484,Domain or Tenant Policy Modification,defense-impairment|privilege-escalation
T1484.001,Group Policy Modification,defense-impairment|privilege-escalation
T1484.002,Trust Modification,defense-impairment|privilege-escalation
T1485,Data Destruction,impact
T1485.001,Lifecycle-Triggered Deletion,impact
T1486,Data Encrypted for Impact,impact
T1487,Disk Structure Wipe,impact
T1488,Disk Content Wipe,impact
T1489,Service Stop,impact
T1490,Inhibit System Recovery,impact
T1491,Defacement,impact
T1491.001,Internal Defacement,impact
T1491.002,External Defacement,impact
T1492,Stored Data Manipulation,impact
T1493,Transmitted Data Manipulation,impact
T1494,Runtime Data Manipulation,impact
T1495,Firmware Corruption,impact
T1496,Resource Hijacking,impact
T1496.001,Compute Hijacking,impact
T1496.002,Bandwidth Hijacking,impact
T1496.003,SMS Pumping,impact
T1496.004,Cloud Service Hijacking,impact
T1497,Virtualization/Sandbox Evasion,stealth|discovery
T1497.001,System Checks,stealth|discovery
T1497.002,User Activity Based Checks,stealth|discovery
T1497.003,Time Based Checks,stealth|discovery
T1498,Network Denial of Service,impact
T1498.001,Direct Network Flood,impact
T1498.002,Reflection Amplification,impact
T1499,Endpoint Denial of Service,impact
T1499.001,OS Exhaustion Flood,impact
T1499.002,Service Exhaustion Flood,impact
T1499.003,Application Exhaustion Flood,impact
T1499.004,Application or System Exploitation,impact
T1500,Compile After Delivery,stealth
T1501,Systemd Service,persistence
T1502,Parent PID Spoofing,stealth|privilege-escalation
T1503,Credentials from Web Browsers,credential-access
T1504,PowerShell Profile,persistence|privilege-escalation
T1505,Server Software Component,persistence
T1505.001,SQL Stored Procedures,persistence
T1505.002,Transport Agent,persistence
T1505.003,Web Shell,persistence
T1505.004,IIS Components,persistence
T1505.005,Terminal Services DLL,persistence
T1505.006,vSphere Installation Bundles,persistence
T1506,Web Session Cookie,stealth|lateral-movement
T1514,Elevated Execution with Prompt,privilege-escalation
T1518,Software Discovery,discovery
T1518.001,Security Software Discovery,discovery
T1518.002,Backup Software Discovery,discovery
T1519,Emond,persistence|privilege-escalation
T1522,Cloud Instance Metadata API,credential-access
T1525,Implant Internal Image,persistence
T1526,Cloud Service Discovery,discovery
T1527,Application Access Token,stealth|lateral-movement
T1528,Steal Application Access Token,credential-access
T1529,System Shutdown/Reboot,impact
T1530,Data from Cloud Storage,collection
T1531,Account Access Removal,impact
T1534,Internal Spearphishing,lateral-movement
T1535,Unused/Unsupported Cloud Regions,stealth
T1536,Revert Cloud Instance,stealth
T1537,Transfer Data to Cloud Account,exfiltration
T1538,Cloud Service Dashboard,discovery
T1539,Steal Web Session Cookie,credential-access
T1542,Pre-OS Boot,stealth|persistence
T1542.001,System Firmware,stealth|persistence
T1542.002,Component Firmware,stealth|persistence
T1542.003,Bootkit,stealth|persistence
T1542.004,ROMMONkit,stealth|persistence
T1542.005,TFTP Boot,stealth|persistence
T1543,Create or Modify System Process,persistence|privilege-escalation
T1543.001,Launch Agent,persistence|privilege-escalation
T1543.002,Systemd Service,persistence|privilege-escalation
T1543.003,Windows Service,persistence|privilege-escalation
T1543.004,Launch Daemon,persistence|privilege-escalation
T1543.005,Container Service,persistence|privilege-escalation
T1546,Event Triggered Execution,privilege-escalation|persistence
T1546.001,Change Default File Association,privilege-escalation|persistence
T1546.002,Screensaver,privilege-escalation|persistence
T1546.003,Windows Management Instrumentation Event Subscription,privilege-escalation|persistence
T1546.004,Unix Shell Configuration Modification,privilege-escalation|persistence
T1546.005,Trap,privilege-escalation|persistence
T1546.006,LC_LOAD_DYLIB Addition,privilege-escalation|persistence
T1546.007,Netsh Helper DLL,privilege-escalation|persistence
T1546.008,Accessibility Features,privilege-escalation|persistence
T1546.009,AppCert DLLs,privilege-escalation|persistence
T1546.010,AppInit DLLs,privilege-escalation|persistence
T1546.011,Application Shimming,privilege-escalation|persistence
T1546.012,Image File Execution Options Injection,privilege-escalation|persistence
T1546.013,PowerShell Profile,privilege-escalation|persistence
T1546.014,Emond,privilege-escalation|persistence
T1546.015,Component Object Model Hijacking,privilege-escalation|persistence
T1546.016,Installer Packages,privilege-escalation|persistence
T1546.017,Udev Rules,persistence|privilege-escalation
T1546.018,Python Startup Hooks,persistence|privilege-escalation
T1547,Boot or Logon Autostart Execution,persistence|privilege-escalation
T1547.001,Registry Run Keys / Startup Folder,persistence|privilege-escalation
T1547.002,Authentication Package,persistence|privilege-escalation
T1547.003,Time Providers,persistence|privilege-escalation
T1547.004,Winlogon Helper DLL,persistence|privilege-escalation
T1547.005,Security Support Provider,persistence|privilege-escalation
T1547.006,Kernel Modules and Extensions,persistence|privilege-escalation
T1547.007,Re-opened Applications,persistence|privilege-escalation
T1547.008,LSASS Driver,persistence|privilege-escalation
T1547.009,Shortcut Modification,persistence|privilege-escalation
T1547.010,Port Monitors,persistence|privilege-escalation
T1547.011,Plist Modification,persistence|privilege-escalation
T1547.012,Print Processors,persistence|privilege-escalation
T1547.013,XDG Autostart Entries,persistence|privilege-escalation
T1547.014,Active Setup,persistence|privilege-escalation
T1547.015,Login Items,persistence|privilege-escalation
T1548,Abuse Elevation Control Mechanism,privilege-escalation
T1548.001,Setuid and Setgid,privilege-escalation
T1548.002,Bypass User Account Control,privilege-escalation
T1548.003,Sudo and Sudo Caching,privilege-escalation
T1548.004,Elevated Execution with Prompt,privilege-escalation
T1548.005,Temporary Elevated Cloud Access,privilege-escalation
T1548.006,TCC Manipulation,privilege-escalation
T1550,Use Alternate Authentication Material,lateral-movement
T1550.001,Application Access Token,lateral-movement
T1550.002,Pass the Hash,lateral-movement
T1550.003,Pass the Ticket,lateral-movement
T1550.004,Web Session Cookie,lateral-movement
T1552,Unsecured Credentials,credential-access
T1552.001,Credentials In Files,credential-access
T1552.002,Credentials in Registry,credential-access
T1552.003,Shell History,credential-access
T1552.004,Private Keys,credential-access
T1552.005,Cloud Instance Metadata API,credential-access
T1552.006,Group Policy Preferences,credential-access
T1552.007,Container API,credential-access
T1552.008,Chat Messages,credential-access
T1553,Subvert Trust Controls,defense-impairment
T1553.001,Gatekeeper Bypass,defense-impairment
T1553.002,Code Signing,defense-impairment
T1553.003,SIP and Trust Provider Hijacking,defense-impairment
T1553.004,Install Root Certificate,defense-impairment
T1553.005,Mark-of-the-Web Bypass,defense-impairment
T1553.006,Code Signing Policy Modification,defense-impairment
T1554,Compromise Host Software Binary,persistence
T1555,Credentials from Password Stores,credential-access
T1555.001,Keychain,credential-access
T1555.002,Securityd Memory,credential-access
T1555.003,Credentials from Web Browsers,credential-access
T1555.004,Windows Credential Manager,credential-access
T1555.005,Password Managers,credential-access
T1555.006,Cloud Secrets Management Stores,credential-access
T1556,Modify Authentication Process,defense-impairment|persistence|credential-access
T1556.001,Domain Controller Authentication,defense-impairment|persistence|credential-access
T1556.002,Password Filter DLL,defense-impairment|persistence|credential-access
T1556.003,Pluggable Authentication Modules,defense-impairment|persistence|credential-access
T1556.004,Network Device Authentication,defense-impairment|persistence|credential-access
T1556.005,Reversible Encryption,defense-impairment|persistence|credential-access
T1556.006,Multi-Factor Authentication,defense-impairment|persistence|credential-access
T1556.007,Hybrid Identity,defense-impairment|persistence|credential-access
T1556.008,Network Provider DLL,defense-impairment|persistence|credential-access
T1556.009,Conditional Access Policies,defense-impairment|persistence|credential-access
T1557,Adversary-in-the-Middle,credential-access|collection
T1557.001,Name Resolution Poisoning and SMB Relay,credential-access|collection
T1557.002,ARP Cache Poisoning,credential-access|collection
T1557.003,DHCP Spoofing,credential-access|collection
T1557.004,Evil Twin,credential-access|collection
T1558,Steal or Forge Kerberos Tickets,credential-access
T1558.001,Golden Ticket,credential-access
T1558.002,Silver Ticket,credential-access
T1558.003,Kerberoasting,credential-access
T1558.004,AS-REP Roasting,credential-access
T1558.005,Ccache Files,credential-access
T1559,Inter-Process Communication,execution
T1559.001,Component Object Model,execution
T1559.002,Dynamic Data Exchange,execution
T1559.003,XPC Services,execution
T1560,Archive Collected Data,collection
T1560.001,Archive via Utility,collection
T1560.002,Archive via Library,collection
T1560.003,Archive via Custom Method,collection
T1561,Disk Wipe,impact
T1561.001,Disk Content Wipe,impact
T1561.002,Disk Structure Wipe,impact
T1562,Impair Defenses,stealth
T1562.001,Disable or Modify Tools,stealth
T1562.002,Disable Windows Event Logging,stealth
T1562.003,Impair Command History Logging,stealth
T1562.004,Disable or Modify System Firewall,stealth
T1562.006,Indicator Blocking,stealth
T1562.007,Disable or Modify Cloud Firewall,stealth
T1562.008,Disable or Modify Cloud Logs,stealth
T1562.009,Safe Mode Boot,stealth
T1562.010,Downgrade Attack,stealth
T1562.011,Spoof Security Alerting,stealth
T1562.012,Disable or Modify Linux Audit System,stealth
T1562.013,Disable or Modify Network Device Firewall,stealth
T1563,Remote Service Session Hijacking,lateral-movement
T1563.001,SSH Hijacking,lateral-movement
T1563.002,RDP Hijacking,lateral-movement
T1564,Hide Artifacts,stealth
T1564.001,Hidden Files and Directories,stealth
T1564.002,Hidden Users,stealth
T1564.003,Hidden Window,stealth
T1564.004,NTFS File Attributes,stealth
T1564.005,Hidden File System,stealth
T1564.006,Run Virtual Instance,stealth
T1564.007,VBA Stomping,stealth
T1564.008,Email Hiding Rules,stealth
T1564.009,Resource Forking,stealth
T1564.010,Process Argument Spoofing,stealth
T1564.011,Ignore Process Interrupts,stealth
T1564.012,File/Path Exclusions,stealth
T1564.013,Bind Mounts,stealth
T1564.014,Extended Attributes,stealth
T1565,Data Manipulation,impact
T1565.001,Stored Data Manipulation,impact
T1565.002,Transmitted Data Manipulation,impact
T1565.003,Runtime Data Manipulation,impact
T1566,Phishing,initial-access
T1566.001,Spearphishing Attachment,initial-access
T1566.002,Spearphishing Link,initial-access
T1566.003,Spearphishing via Service,initial-access
T1566.004,Spearphishing Voice,initial-access
T1567,Exfiltration Over Web Service,exfiltration
T1567.001,Exfiltration to Code Repository,exfiltration
T1567.002,Exfiltration to Cloud Storage,exfiltration
T1567.003,Exfiltration to Text Storage Sites,exfiltration
T1567.004,Exfiltration Over Webhook,exfiltration
T1568,Dynamic Resolution,command-and-control
T1568.001,Fast Flux DNS,command-and-control
T1568.002,Domain Generation Algorithms,command-and-control
T1568.003,DNS Calculation,command-and-control
T1569,System Services,execution
T1569.001,Launchctl,execution
T1569.002,Service Execution,execution
T1569.003,Systemctl,execution
T1570,Lateral Tool Transfer,lateral-movement
T1571,Non-Standard Port,command-and-control
T1572,Protocol Tunneling,command-and-control
T1573,Encrypted Channel,command-and-control
T1573.001,Symmetric Cryptography,command-and-control
T1573.002,Asymmetric Cryptography,command-and-control
T1574,Hijack Execution Flow,stealth|execution
T1574.001,DLL,stealth|execution
T1574.002,DLL Side-Loading,stealth|execution
T1574.004,Dylib Hijacking,stealth|execution
T1574.005,Executable Installer File Permissions Weakness,stealth|execution
